Time (s),Spleen (a.u.),Liver (a.u.)
0.000000,2.65032,3.05310
57.0000,2.67126,3.08758
114.000,2.66946,3.16627
171.000,2.69982,3.08679
228.000,2.66005,3.07196
285.000,5.04310,3.64743
342.000,3.87259,3.80105
399.000,3.61033,3.86896
456.000,3.43982,3.92537
513.000,3.25600,3.91536
570.000,3.23319,3.92481
627.000,3.11933,3.88188
684.000,3.09367,3.84423
741.000,3.03769,3.81944
798.000,3.03321,3.74897
855.000,3.06728,3.72994
912.000,2.93049,3.67860
969.000,3.03346,3.69069
1026.00,3.07158,3.65835
1083.00,3.05841,3.66667
1140.00,3.05770,3.62074
1197.00,2.91993,3.62110
1254.00,2.90359,3.64022
1311.00,2.97937,3.60626
1368.00,2.82733,3.54284
1425.00,2.86539,3.47125
1482.00,2.84832,3.52195
1539.00,2.82746,3.53451
1596.00,2.87313,3.46690
1653.00,2.89729,3.41485
