Time (s),Spleen (a.u.),Liver (a.u.)
0.000000,2.65032,2.89101
57.0000,2.67126,2.91483
114.000,2.66946,2.94952
171.000,2.69982,2.88726
228.000,2.66005,2.87876
285.000,5.04310,3.44483
342.000,3.87259,3.58885
399.000,3.61033,3.67257
456.000,3.43982,3.72910
513.000,3.25600,3.67938
570.000,3.23319,3.68680
627.000,3.11933,3.60798
684.000,3.09367,3.57749
741.000,3.03769,3.55098
798.000,3.03321,3.50920
855.000,3.06728,3.50737
912.000,2.93049,3.47641
969.000,3.03346,3.43747
1026.00,3.07158,3.35380
1083.00,3.05841,3.36316
1140.00,3.05770,3.41833
1197.00,2.91993,3.38811
1254.00,2.90359,3.36437
1311.00,2.97937,3.33988
1368.00,2.82733,3.30274
1425.00,2.86539,3.23354
1482.00,2.84832,3.25290
1539.00,2.82746,3.28315
1596.00,2.87313,3.23748
1653.00,2.89729,3.14907
