Time (s),Spleen (a.u.),Liver (a.u.)
0.000000,2.65032,3.05868
57.0000,2.67126,3.06310
114.000,2.66946,3.06215
171.000,2.69982,3.02391
228.000,2.66005,2.98792
285.000,5.04310,3.66409
342.000,3.87259,3.82861
399.000,3.61033,3.80764
456.000,3.43982,3.84462
513.000,3.25600,3.83937
570.000,3.23319,3.78280
627.000,3.11933,3.77381
684.000,3.09367,3.80275
741.000,3.03769,3.74968
798.000,3.03321,3.71001
855.000,3.06728,3.69506
912.000,2.93049,3.67987
969.000,3.03346,3.66573
1026.00,3.07158,3.58113
1083.00,3.05841,3.53884
1140.00,3.05770,3.57062
1197.00,2.91993,3.53507
1254.00,2.90359,3.51318
1311.00,2.97937,3.50612
1368.00,2.82733,3.49422
1425.00,2.86539,3.46055
1482.00,2.84832,3.47158
1539.00,2.82746,3.40676
1596.00,2.87313,3.37943
1653.00,2.89729,3.33368
