Time (s),Spleen (a.u.),Liver (a.u.)
0.000000,2.65032,3.16763
57.0000,2.67126,3.16283
114.000,2.66946,3.23514
171.000,2.69982,3.15116
228.000,2.66005,3.14699
285.000,5.04310,3.80788
342.000,3.87259,4.04404
399.000,3.61033,4.07728
456.000,3.43982,4.06747
513.000,3.25600,4.03979
570.000,3.23319,4.01355
627.000,3.11933,3.96737
684.000,3.09367,3.96835
741.000,3.03769,3.92445
798.000,3.03321,3.85654
855.000,3.06728,3.82745
912.000,2.93049,3.80822
969.000,3.03346,3.90082
1026.00,3.07158,3.71423
1083.00,3.05841,3.71756
1140.00,3.05770,3.65507
1197.00,2.91993,3.66891
1254.00,2.90359,3.72304
1311.00,2.97937,3.71900
1368.00,2.82733,3.64072
1425.00,2.86539,3.58589
1482.00,2.84832,3.56085
1539.00,2.82746,3.61148
1596.00,2.87313,3.52131
1653.00,2.89729,3.48334
