Time (s),Spleen (a.u.),Liver (a.u.)
0.000000,2.65032,3.30298
57.0000,2.67126,3.27324
114.000,2.66946,3.29261
171.000,2.69982,3.26629
228.000,2.66005,3.25009
285.000,5.04310,3.92113
342.000,3.87259,4.11552
399.000,3.61033,4.13867
456.000,3.43982,4.15132
513.000,3.25600,4.16981
570.000,3.23319,4.12445
627.000,3.11933,4.10842
684.000,3.09367,4.07897
741.000,3.03769,4.03959
798.000,3.03321,3.90677
855.000,3.06728,3.94986
912.000,2.93049,3.91098
969.000,3.03346,4.05610
1026.00,3.07158,3.79262
1083.00,3.05841,3.84107
1140.00,3.05770,3.79605
1197.00,2.91993,3.79214
1254.00,2.90359,3.83043
1311.00,2.97937,3.80511
1368.00,2.82733,3.78459
1425.00,2.86539,3.68718
1482.00,2.84832,3.73573
1539.00,2.82746,3.72742
1596.00,2.87313,3.60170
1653.00,2.89729,3.62912
