Time (s),Spleen (a.u.),Liver (a.u.)
0.000000,4.33394,5.82109
57.0000,4.40207,5.64195
114.000,4.40058,5.56952
171.000,4.33603,5.80969
228.000,4.35748,5.80736
285.000,6.36044,7.68927
342.000,5.71625,8.04669
399.000,4.88281,8.71366
456.000,5.48995,7.63312
513.000,5.29154,8.55647
570.000,4.94913,8.88591
627.000,4.80507,8.16027
684.000,5.22289,7.57815
741.000,4.88132,8.25037
798.000,5.02922,7.99108
855.000,4.94125,8.40374
912.000,4.87326,7.49262
969.000,4.74703,7.76424
1026.00,4.65627,7.30358
1083.00,5.02237,7.70668
1140.00,5.03447,7.86143
1197.00,5.74217,6.92857
1254.00,5.22358,7.54368
1311.00,5.26668,6.76844
1368.00,4.75159,6.97359
1425.00,5.26298,7.34872
1482.00,5.26238,7.22505
1539.00,5.04032,7.00839
1596.00,4.92106,6.91578
1653.00,4.59723,6.92669
