Time (s),Spleen (a.u.),Liver (a.u.)
0.000000,4.33394,5.58919
57.0000,4.40207,5.64194
114.000,4.40058,5.53815
171.000,4.33603,5.95294
228.000,4.35748,5.61239
285.000,6.36044,7.90747
342.000,5.71625,8.04946
399.000,4.88281,7.84986
456.000,5.48995,8.31363
513.000,5.29154,8.59499
570.000,4.94913,8.27503
627.000,4.80507,9.02472
684.000,5.22289,8.17767
741.000,4.88132,8.14278
798.000,5.02922,7.67994
855.000,4.94125,8.09197
912.000,4.87326,7.76258
969.000,4.74703,8.06869
1026.00,4.65627,7.61230
1083.00,5.02237,7.92299
1140.00,5.03447,7.39176
1197.00,5.74217,7.12985
1254.00,5.22358,7.42443
1311.00,5.26668,7.09021
1368.00,4.75159,7.12084
1425.00,5.26298,7.34352
1482.00,5.26238,7.09859
1539.00,5.04032,7.13788
1596.00,4.92106,7.07085
1653.00,4.59723,7.09132
