Time (s),Spleen (a.u.),Liver (a.u.)
0.000000,4.33394,5.62315
57.0000,4.40207,5.84247
114.000,4.40058,5.67978
171.000,4.33603,6.08894
228.000,4.35748,5.66204
285.000,6.36044,7.80492
342.000,5.71625,7.83023
399.000,4.88281,8.02348
456.000,5.48995,8.36461
513.000,5.29154,8.69697
570.000,4.94913,8.23124
627.000,4.80507,9.13330
684.000,5.22289,7.77792
741.000,4.88132,7.86204
798.000,5.02922,7.74709
855.000,4.94125,7.68732
912.000,4.87326,7.70498
969.000,4.74703,8.05853
1026.00,4.65627,7.69309
1083.00,5.02237,7.83448
1140.00,5.03447,7.81514
1197.00,5.74217,6.79564
1254.00,5.22358,7.50758
1311.00,5.26668,7.07871
1368.00,4.75159,7.01283
1425.00,5.26298,7.19598
1482.00,5.26238,6.82590
1539.00,5.04032,6.96084
1596.00,4.92106,7.25575
1653.00,4.59723,7.29032
