Time (s),Spleen (a.u.),Liver (a.u.)
0.000000,4.33394,5.46562
57.0000,4.40207,5.61171
114.000,4.40058,5.41756
171.000,4.33603,5.86556
228.000,4.35748,5.74572
285.000,6.36044,7.74724
342.000,5.71625,7.95150
399.000,4.88281,7.87397
456.000,5.48995,8.32944
513.000,5.29154,8.59780
570.000,4.94913,8.30620
627.000,4.80507,8.76901
684.000,5.22289,8.27961
741.000,4.88132,7.99339
798.000,5.02922,7.89249
855.000,4.94125,7.74312
912.000,4.87326,7.74288
969.000,4.74703,7.94359
1026.00,4.65627,7.54372
1083.00,5.02237,7.79923
1140.00,5.03447,7.44189
1197.00,5.74217,7.06245
1254.00,5.22358,7.27677
1311.00,5.26668,6.82849
1368.00,4.75159,6.99532
1425.00,5.26298,7.22443
1482.00,5.26238,6.82169
1539.00,5.04032,6.99218
1596.00,4.92106,6.95477
1653.00,4.59723,6.90792
